species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,5.79693,46.223827,75,86,32,6277,220,-45,265,5,151,154,-7,1217,116,83,9,336,280,286,330
pabulinus,2.545942,50.072014,99,78,35,5248,220,0,220,107,61,165,31,670,71,43,13,193,139,168,163
pabulinus,2.281213,50.983698,105,63,31,4927,212,15,197,117,65,168,42,661,79,40,19,210,132,168,155
pabulinus,3.654496,50.486664,102,79,34,5452,225,-1,226,70,64,170,31,729,70,48,10,201,156,194,177
pabulinus,5.098639,50.551458,95,79,34,5611,220,-10,230,165,55,165,23,858,81,59,9,233,186,233,208
pabulinus,7.439883,46.922429,85,84,32,6274,227,-31,258,165,43,165,4,945,115,60,20,305,195,305,209
pabulinus,5.133489,51.625586,95,74,33,5386,214,-4,218,65,53,162,26,789,75,47,14,216,163,207,193
pabulinus,4.385249,52.086874,95,61,30,5230,206,3,203,109,49,161,31,779,86,44,20,239,147,205,185
pabulinus,5.26425,52.204154,92,75,34,5333,213,-6,219,65,49,160,26,797,77,47,16,229,154,217,192
pabulinus,11.095195,47.564579,66,87,32,6480,204,-63,267,146,-8,146,-20,1020,138,53,35,390,170,390,171
pabulinus,6.0412,50.7647,95,74,33,5589,218,-4,222,166,53,166,25,884,86,60,11,252,193,252,209
pabulinus,7.265273,51.526227,95,77,33,5729,224,-8,232,168,54,168,22,833,83,52,13,238,172,238,204
pabulinus,7.606875,51.966219,92,76,33,5668,218,-9,227,164,52,164,20,801,78,49,14,227,165,227,196
pabulinus,8.795887,51.368018,76,71,30,5943,204,-31,235,10,35,151,0,967,97,64,12,268,209,257,256
pabulinus,10.648161,51.770598,51,71,30,6009,178,-54,232,-11,99,128,-25,1201,124,82,11,335,274,319,328
pabulinus,12.947558,50.845211,77,77,29,6708,219,-40,259,163,0,163,-9,619,77,35,26,217,112,217,120
pabulinus,13.651243,51.063948,83,75,28,6758,224,-37,261,169,4,169,-5,636,83,36,27,226,113,226,120
pabulinus,9.528195,55.261685,77,64,28,5756,197,-29,226,87,27,151,6,752,84,40,22,240,132,200,149
pabulinus,8.572645,55.485481,82,57,26,5716,197,-17,214,95,31,155,12,813,96,43,29,278,133,214,182
pabulinus,10.292488,56.236434,77,68,27,6016,201,-43,244,85,24,154,2,599,63,33,22,185,104,169,115
pabulinus,15.522817,46.656136,80,97,31,7333,241,-66,307,172,-3,172,-17,1012,125,46,32,362,149,362,158
pabulinus,15.948094,47.106514,87,98,31,7398,249,-59,308,179,-11,179,-11,811,111,33,38,315,114,315,114
pabulinus,16.29141,48.137648,96,96,32,7211,257,-40,297,187,15,187,2,642,78,35,27,224,115,224,117
pabulinus,15.876574,48.852792,81,91,31,7066,236,-52,288,170,2,170,-12,648,87,32,35,248,105,248,107
pabulinus,19.832196,47.918583,92,98,30,7727,256,-61,317,172,6,186,-12,581,76,32,29,202,97,189,105
pabulinus,19.914629,49.253774,44,86,30,7005,189,-96,285,131,-40,131,-49,1113,171,51,42,456,162,456,170
pabulinus,28.329381,54.095262,59,80,24,8879,229,-100,329,170,-48,170,-57,635,86,30,32,235,104,235,113
pabulinus,10.433794,55.350622,81,59,27,5832,201,-17,218,91,29,155,10,607,67,35,20,183,108,171,135
pabulinus,11.653893,55.331343,82,51,22,6039,193,-30,223,156,25,159,6,588,62,31,19,178,105,171,114
pabulinus,12.502752,55.722318,84,63,27,6215,211,-20,231,159,31,165,9,624,68,33,20,193,112,184,141
pabulinus,12.754522,56.447324,71,64,25,6349,195,-52,247,146,15,154,-6,776,86,38,25,250,131,232,172
pabulinus,10.413611,59.840531,44,69,24,7462,196,-84,280,130,-14,142,-50,780,95,39,27,261,129,247,148
pabulinus,15.108398,59.266416,61,82,27,7245,223,-71,294,144,1,158,-28,636,74,32,27,217,103,197,130
pabulinus,16.584159,63.821335,18,85,25,8635,191,-147,338,116,-43,131,-93,565,83,28,34,210,87,206,108
pabulinus,23.086008,63.839542,26,86,24,8729,208,-137,345,126,-43,141,-84,534,71,27,30,190,85,172,105
pabulinus,23.1376,60.406263,49,76,24,7967,215,-93,308,140,-17,155,-50,613,76,30,30,210,96,194,128
pabulinus,24.853759,60.176318,51,65,21,8075,209,-88,297,145,-17,158,-49,648,78,33,30,221,103,197,134
pabulinus,-4.158169,50.39982,104,60,35,3919,196,29,167,66,140,155,58,995,118,56,26,338,175,184,323
pabulinus,-2.321614,51.463185,91,73,36,4619,205,5,200,44,54,152,35,798,86,52,16,244,171,180,222
pabulinus,-1.085967,51.461611,97,75,35,4796,213,2,211,45,61,158,36,706,73,46,15,212,149,162,188
pabulinus,-0.471465,50.807156,101,80,37,4745,219,7,212,75,148,163,42,726,80,46,20,230,146,151,194
pabulinus,0.356686,51.156234,99,77,37,4794,216,8,208,74,117,162,40,691,76,43,20,219,142,146,186
pabulinus,-0.344752,51.50038,102,80,36,4915,224,6,218,73,65,166,41,632,60,39,12,180,134,153,156
pabulinus,-3.34594,51.574614,98,64,33,4661,205,13,192,50,117,159,41,1087,121,66,22,352,203,228,315
pabulinus,-2.337676,52.121026,93,72,36,4519,202,6,196,46,57,152,37,715,72,48,12,205,153,173,187
pabulinus,-2.419335,52.707496,88,70,35,4605,196,-2,198,39,54,148,31,700,67,45,12,195,146,177,173
pabulinus,-0.146678,51.981608,96,76,35,4976,216,0,216,68,59,161,34,633,60,40,10,175,139,158,156
